Volume,Year,DOI,Journal,Title,Issue-info,toc_href,Authors,Image,article-link
49,2016,10.1021/acs.accounts.6b00078,Acc. Chem. Res.,Computational Studies on Cinchona Alkaloid-Catalyzed Asymmetric Organic Reactions," (6), pp 1250–1262",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-6/acs.accounts.6b00078/20160615/images/large/ar-2016-00078g_0034.jpeg,"Gamze Tanriver, Burcu Dedeoglu, Saron Catak*, and Viktorya Aviyente",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00078.jpeg,/doi/abs/10.1021/acs.accounts.6b00078
49,2016,10.1021/acs.accounts.6b00093,Acc. Chem. Res.,New Mechanistic Insights on the Selectivity of Transition-Metal-Catalyzed Organic Reactions: The Role of Computational Chemistry," (6), pp 1302–1310",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-6/acs.accounts.6b00093/20160615/images/large/ar-2016-000932_0017.jpeg,"Xinhao Zhang, Lung Wa Chung, and Yun-Dong Wu*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00093.jpeg,/doi/abs/10.1021/acs.accounts.6b00093
49,2016,10.1021/acs.accounts.6b00054,Acc. Chem. Res.,First-Principles Molecular Dynamics Studies of Organometallic Complexes and Homogeneous Catalytic Processes," (6), pp 1271–1278",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-6/acs.accounts.6b00054/20160615/images/large/ar-2016-00054r_0008.jpeg,"Pietro Vidossich, Agustí Lledós, and Gregori Ujaque*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00054.jpeg,/doi/abs/10.1021/acs.accounts.6b00054
